Var1,Var2,Freq
chlorides,fixed acidity,0.2981947717027352
fixed acidity,chlorides,0.2981947717027352
sulphates,fixed acidity,0.2995677443824938
fixed acidity,sulphates,0.2995677443824938
citric acid,fixed acidity,0.32443572544729815
fixed acidity,citric acid,0.32443572544729815
density,chlorides,0.3626146565578099
chlorides,density,0.3626146565578099
chlorides,volatile acidity,0.37712427643386315
volatile acidity,chlorides,0.37712427643386315
sulphates,chlorides,0.3955933065473261
chlorides,sulphates,0.3955933065473261
free sulfur dioxide,residual sugar,0.40287064005666073
residual sugar,free sulfur dioxide,0.40287064005666073
quality,alcohol,0.44431852000751765
alcohol,quality,0.44431852000751765
density,fixed acidity,0.4589099822804343
fixed acidity,density,0.4589099822804343
total sulfur dioxide,residual sugar,0.4954815870066484
residual sugar,total sulfur dioxide,0.4954815870066484
density,residual sugar,0.5525169502934877
residual sugar,density,0.5525169502934877
total sulfur dioxide,free sulfur dioxide,0.7209340813785247
free sulfur dioxide,total sulfur dioxide,0.7209340813785247
fixed acidity,fixed acidity,1
volatile acidity,volatile acidity,1
citric acid,citric acid,1
residual sugar,residual sugar,1
chlorides,chlorides,1
free sulfur dioxide,free sulfur dioxide,1
total sulfur dioxide,total sulfur dioxide,1
density,density,1
pH,pH,1
sulphates,sulphates,1
alcohol,alcohol,1
quality,quality,1
